gene.vec	twas.z.u	pval.u	twas.z.p	pval.p	twas.z.cauchy	pval.cauchy
ENSG00000100181	NA	NA	NA	NA	NA	NA
ENSG00000172967	NA	NA	-0.337640612674665	0.735634033148065	-0.337640612674665	0.735634033148065
ENSG00000237438	-2.17179247361205	0.0298713196416997	-1.88419465328562	0.0595386505171385	-2.05572848506654	0.0398086946612403
ENSG00000177663	0.257466358381095	0.796818782234152	NA	NA	0.257466358381095	0.796818782234152
ENSG00000183307	0.0440147589995948	0.964892639288442	NA	NA	0.0440147589995948	0.964892639288442
ENSG00000235478	NA	NA	-0.331149407349243	0.740531633252502	-0.331149407349243	0.740531633252502
ENSG00000093072	NA	NA	-0.58457961045935	0.558830420885432	-0.58457961045935	0.558830420885432
ENSG00000131100	0.131557536044771	0.895334274832675	-1.48774595765771	0.136817902609968	-0.504216045106795	0.614109566425827
ENSG00000099968	NA	NA	0.187281130365326	0.851440217017132	0.187281130365326	0.851440217017132
ENSG00000183628	-0.382364910413491	0.702190714002234	-0.339709494026071	0.734075311319366	-0.360080685774563	0.718786795906774
ENSG00000237517	-0.207905714804294	0.835302586905114	0.191116706649305	0.848434158872275	-0.199184713154337	0.842118256967595
ENSG00000273032	-0.200835381495251	0.840827296112721	0.270057442630293	0.787116061876561	0.230873550693784	0.817413039158221
ENSG00000273164	-0.51798426537625	0.604469247562029	-0.397557455268179	0.690956426701163	-0.452804261364911	0.65068969483696
ENSG00000241527	0.234963079561628	0.814237389304498	0.587542284134221	0.556839560659954	0.35341431349414	0.723777856685392
ENSG00000273311	1.87929435022146	0.0602043127185374	0.692159938555164	0.488836893963916	1.5731855293512	0.115675865005397
ENSG00000100056	-2.0188685593129	0.0435008828491375	-1.82035208940476	0.0687054035888275	-1.93249161148856	0.0532988564326142
ENSG00000100075	-0.706127698040003	0.480108728271301	-0.759875864507369	0.447328789721956	-0.732895812353378	0.463621977418481
ENSG00000070371	-0.627376050775645	0.530412762661946	-0.572976208145555	0.566660803237718	-0.599715716669674	0.548695712056357
ENSG00000185608	NA	NA	0.383138844456799	0.701616819387861	0.383138844456799	0.701616819387861
ENSG00000185838	-0.905396229071196	0.36525551277445	-0.373596887900201	0.708704249653295	-0.597327546522864	0.550288716573988
